entity,type
Bùi Tá Hoàng Vũ,PER
HĐND TP HCM,ORG
Khánh Hoàng,PER
Lê Thị Thanh Thảo,PER
Phan Thị Thắng,PER
Phan Văn Mãi,PER
Quỳnh Trần,PER
Sở Công Thương,ORG
Thu Hằng,PER
Thành ủy TP HCM,ORG
UBND,ORG
UBND TP HCM,ORG
Bùi Tá Hoàng Vũ,PER
HĐND TP HCM,ORG
Lê Thị Thanh Thảo,PER
Phan Văn Mãi,PER
Quỳnh Trần,PER
Sở Công Thương,ORG
Thu Hằng,PER
UBND,ORG
UBND TP HCM,ORG
An Phương,PER
Bùi Văn Duy,PER
Công ty TNHH May Shin Dong,ORG
Công ty TNHH May Sun Kyoung Việt Nam,ORG
Công ty TNHH WooYang ViNa II,ORG
Công ty giày Tỷ Hùng,ORG
Duy,PER
Lê Tuyết,PER
Lộc,PER
Nguyễn Đức Lộc,PER
Ngọc,PER
"Phòng Lao động, Thương binh và Xã hội quận",ORG
Social Life,ORG
Thuận Phương Group,ORG
Thọ,PER
Trung tâm dự báo Nhu cầu nhân lực và thị trường lao động TP HCM,ORG
Trần Minh Ngọc,PER
Trần Thanh Thọ,PER
Tập đoàn may thêu Thuận Phương,ORG
Tỷ Hùng,ORG
Viện Nghiên cứu đời sống xã hội,ORG
chi nhánh Bảo hiểm thất nghiệp quận 6,ORG
Ban quản lý Dự án đầu tư xây dựng khu vực,ORG
Công ty cổ phần Tập đoàn Anh Vinh,ORG
Gia Minh,PER
Google,ORG
Sở Giao thông Vận tải,ORG
Thủ Đức,ORG
Bộ Chính trị,ORG
Hoàng Phong,PER
Hồ Chí Minh,PER
Lênin,PER
Mác,PER
Phan Đình Trạc,PER
Thưởng,PER
Trương Thị Mai,PER
Trần Tuấn Anh,PER
Viết Tuân,PER
Võ Văn Thưởng,PER
Vũ Đức Đam,PER
ban Kinh tế Trung ương,ORG
ban Tổ chức Trung ương,ORG
Lê Quốc Hoàng Nam,PER
Nam,PER
Gia Minh,PER
Mai,PER
