id,from,to,article_ids,weight
0,ASEAN Thương mại,Bộ Ngoại giao Pháp,[88],1
1,ASEAN Thương mại,Châu Phi,[88],1
2,ASEAN Thương mại,Châu Á,[88],1
3,ASEAN Thương mại,Châu Âu,[88],1
4,ASEAN Thương mại,Emmanuel Macron,[88],1
5,ASEAN Thương mại,Liên minh Châu Âu,[88],1
6,ASEAN Thương mại,Olivier Becht,[88],1
7,ASEAN Thương mại,Thái Bình Dương,[88],1
8,ASEAN Thương mại,Thái Lan,[88],1
9,ASEAN Thương mại,Trung Quốc,[88],1
10,ASEAN Thương mại,Tây Âu,[88],1
11,ASEAN Thương mại,Đông Nam Á,[88],1
12,ASEAN Thương mại,Đông Nam Á Thương mại,[88],1
13,ASEAN Thương mại,Ấn Độ Dương,[88],1
14,AXN Asia,Thanh Thanh Huyền,[40],1
15,AXN Asia,Thùy Tiên,[40],1
16,AXN Asia,VTV3 Charm Việt Nam,[40],1
17,AXN Asia,châu Á,[40],1
18,AXN Asia,người Thái,[40],1
19,AXN Asia,người Việt,[40],1
20,AXN Asia,tiếng Anh,[40],1
21,Adam Klivans,Quỹ Khoa học Quốc gia,[96],1
22,Adam Klivans,Viện Công nghệ Georgia,[96],1
23,Adani Enterprises,Arun Kejriwal,[110],1
24,Adani Enterprises,Châu Á,[110],1
25,Adani Enterprises,bang Gujarat,[110],1
26,Adani Enterprises,khách sạn Taj Mahal Palace,[110],1
27,Adani Group,Adani Enterprises,[110],1
28,Adani Group,Arun Kejriwal,[110],1
29,Adani Group,Châu Á,[110],1
30,Adani Group,Gautam Adani,[110],1
31,Adani Group,Hindenburg Research,[110],1
32,Adani Group,Jugeshinder Singh,[110],1
33,Adani Group,New York,[110],1
34,Adani Group,Tập đoàn Adani,[110],1
35,Adani Group,bang Gujarat,[110],1
36,Adani Group,khách sạn Taj Mahal Palace,[110],1
37,Adani Group,Ấn Độ,[110],1
38,Adarsh Katiyar,Bipin Rawat,[105],1
39,Adarsh Katiyar,Không quân Ấn Độ,[105],1
40,Adarsh Katiyar,bang Arunachal Pradesh,[105],1
41,Adarsh Katiyar,căn Gwalior,[105],1
42,Adarsh Katiyar,thị trấn Tawang,[105],1
