id,entity,type
0,Công ty Nestlé Việt Nam,B-ORG
1,Đồng Nai,B-LOC
2,Sputnik Việt Nam,B-ORG
3,Việt Nam,B-LOC
4,Cục Đầu tư nước ngoài,B-ORG
5,Bộ Kế hoạch và Đầu tư,B-ORG
6,Đỗ Nhất Hoàng,B-PER
7,Bắc Giang,B-LOC
8,Nhà máy công nghệ chính xác Fulian,B-ORG
9,Ingrasys Pte . Ltd,B-ORG
10,Công ty TNHH Fulian,B-ORG
11,Hainan Longi Green Energy Technology Company Limited,B-ORG
12,Ban Quản lý các khu công nghiệp tỉnh Bắc Giang,B-ORG
13,Ủy ban Nhân dân tỉnh Bắc Giang,B-ORG
14,Lê Ánh Dương,B-PER
15,Nguyễn Chí Dũng,B-PER
17,Vietnam cục Thống kê,B-LOC
18,cửa khẩu Lào Cai,B-LOC
19,Hoa Kỳ,B-LOC
20,Trung Quốc,B-LOC
21,Tổng cục Thống kê,B-ORG
22,Vietnam +,B-LOC
23,Bộ Công Thương,B-ORG
24,Nguyễn Văn Hiếu,B-PER
25,Tập đoàn Lộc Trời,B-ORG
26,Thúy Hiền,B-PER
27,Bộ Xây dựng,B-ORG
28,Bộ Tài nguyên và Môi trường,B-ORG
30,miền Nam,B-LOC
31,Biển Bắc,B-LOC
32,Đài truyền hình quốc gia IRIB,B-ORG
33,thành phố Isfahan,B-LOC
34,Stefano Grasso,B-PER
35,Tổ chức các Nước Xuất khẩu Dầu mỏ,B-ORG
36,OPEC +,B-ORG
37,Hồng Đạt,B-PER
39,Cục Đăng ký kinh doanh,B-ORG
41,Tuấn Anh,B-PER
42,Bộ Công an,B-ORG
43,Bộ Thông tin và Truyền thông,B-ORG
44,Ngân hàng nhà nước Việt Nam,B-ORG
45,Thu Hằng,B-PER
48,Ấn Độ,B-LOC
56,châu Á,B-LOC
57,Nhật Bản,B-LOC
58,Phố Wall,B-LOC
59,Hàn Quốc,B-LOC
60,Cục Dự trữ Liên bang Mỹ,B-ORG
62,Hong Kong,B-LOC
63,Hang Seng,B-LOC
64,Thượng Hải,B-LOC
65,Shanghai Composite,B-LOC
66,Fed nhóm họp,B-PER
67,Ngân hàng Trung ương châu Âu,B-ORG
68,Ngân hàng trung ương Anh,B-ORG
69,Janet Yellen,B-PER
70,VN Index,B-LOC
76,Đà Nẵng,B-LOC
77,Kiên Giang,B-LOC
78,Thành phố Hồ Chí Minh,B-LOC
79,Hà Nội,B-LOC
80,Quảng Ninh,B-LOC
81,Thừa Thiên - Huế,B-LOC
82,Hải Phòng,B-LOC
83,Tiền Giang,B-LOC
84,Lào Cai,B-LOC
85,Hồ Chí Minh,B-LOC
87,Khánh Hòa,B-LOC
88,Bà Rịa - Vũng Tàu,B-LOC
89,Cần Thơ,B-LOC
91,Hoàng Ánh Dương,B-PER
92,Tổng cục Quản lý thị trường,B-ORG
